id_venta,fecha_venta,id_producto,id_cliente,id_vendedor,cantidad,precio_unitario,total_venta
VT00120,21/07/2024,P0001,C0007,V020,5,55253.0,276265.0
VT00121,2025-01-16,P0054,C0037,V025,8,33984.0,271872.0
VT00122,2025-02-13,P0039,C0046,V008,4,68916.0,275664.0
VT00123,2024-11-21,P0040,C0033,V022,4,24589.0,98356.0
VT00124,2025-01-21,P0050,C0018,V021,12,64852.0,778224.0
VT00125,19/02/2024,P0041,C0006,V010,15,77834.0,1167510.0
VT00126,07-02-2025,P0003,C0047,V024,8,20915.0,167320.0
VT00127,2024-03-08,P0059,C0038,V011,2,64447.0,128894.0
VT00128,2025-01-17,P0012,C0026,V005,7,65102.0,455714.0
VT00129,2025-02-06,P0057,C0047,V017,9,58623.0,527607.0
VT00130,13/09/2024,P0018,C0022,V009,15,52307.0,784605.0
VT00131,2025-04-12,P0031,C0038,V024,14,60400.0,845600.0
VT00132,2025-03-21,P0052,C0015,V015,6,67847.0,407082.0
VT00133,08-02-2024,P0049,C0029,V022,3,44536.0,133608.0
VT00134,2025-01-05,P0026,C0047,V003,11,73064.0,803704.0
VT00135,08/02/2025,P0001,C0034,V018,7,55253.0,386771.0
VT00136,2024-03-04,P0024,C0034,V019,8,6281.0,50248.0
VT00137,2024-07-14,P0041,C0048,V004,14,77834.0,1089676.0
VT00138,2024-12-11,P0031,C0004,V020,4,60400.0,241600.0
VT00139,2025-03-28,P0021,C0029,V021,9,9001.0,81009.0
VT00140,02/02/2024,P0053,C0060,V023,11,51704.0,568744.0
VT00141,2024-06-03,P0027,C0015,V005,11,33860.0,372460.0
VT00142,2024-01-24,P0020,C0064,V004,1,12798.0,12798.0
VT00143,2024-02-19,P0057,C0018,V013,4,58623.0,234492.0
VT00144,2024-08-20,P0043,C0054,V019,6,35140.0,210840.0
VT00145,15/01/2025,P0010,C0054,V021,12,37110.0,445320.0
VT00146,2024-02-20,P0032,C0053,V009,,52753.0,738542.0
VT00147,17-01-2024,P0024,C0028,V015,12,6281.0,75372.0
VT00148,2024-08-15,P0055,C0047,V004,4,46152.0,184608.0
VT00149,2024-12-17,P0035,C0046,V002,6,24771.0,148626.0
VT00150,22/07/2024,P0013,C0016,V015,5,60097.0,300485.0
VT00151,2024-02-16,P0014,C0003,V002,diez,25424.0,279664.0
VT00152,2025-02-06,P0016,C0017,V019,6,10932.0,65592.0
VT00153,2024-04-15,P0054,C0027,V019,2,33984.0,67968.0
VT00154,20-04-2024,P0056,C0030,V011,14,73514.0,1029196.0
VT00155,31/01/2025,P0051,C0001,V009,3,15109.0,45327.0
VT00156,2025-03-15,P0009,C0033,V006,3,18904.0,56712.0
VT00157,2024-02-26,P0056,C0004,V005,11,73514.0,808654.0
VT00158,2024-01-08,P0051,C0031,V019,6,15109.0,90654.0
VT00159,2024-06-14,P0012,C0034,V002,1,65102.0,65102.0
VT00160,05/03/2024,P0027,C0067,V004,12,33860.0,406320.0
VT00161,16-01-2025,P0031,C0058,V025,2,60400.0,120800.0
VT00162,2024-07-04,P0038,C0014,V015,9,21396.0,192564.0
VT00163,2024-09-14,P0040,C0006,V024,4,24589.0,98356.0
VT00164,2025-02-05,P0056,C0006,V010,15,73514.0,1102710.0
VT00165,22/08/2024,P0002,C0008,V016,11,63678.0,700458.0
VT00166,2025-03-09,P0028,C0014,V016,7,54944.0,384608.0
VT00167,2024-12-30,P0029,C0010,V003,15,15919.0,238785.0
VT00168,13-06-2024,P0010,C0009,V005,10,37110.0,371100.0
VT00169,2024-05-20,P0041,C0042,V013,10,77834.0,778340.0
VT00170,01/11/2024,P0019,C0059,V017,9,62703.0,564327.0
VT00171,2024-11-05,P0007,C0015,V021,7,20538.0,143766.0
VT00172,2024-11-29,P0050,C0028,V014,15,64852.0,972780.0
VT00173,2024-08-19,P0015,C0053,V011,15,81470.0,1222050.0
VT00174,2025-02-27,P0026,C0054,V024,8,73064.0,584512.0
VT00175,18/02/2024,P0028,C0041,V022,6,54944.0,329664.0
VT00176,2024-05-10,P0010,C0061,V003,6,37110.0,222660.0
VT00177,2024-02-16,P0006,C0012,V014,14,5122.0,71708.0
VT00178,2024-02-19,P0048,C0048,V005,12,32365.0,388380.0
VT00179,2024-10-11,P0038,C0043,V022,1,21396.0,21396.0
VT00180,03/03/2024,P0023,C0055,V024,7,50132.0,350924.0
VT00181,2024-01-27,P0039,C0040,V012,5,68916.0,344580.0
VT00182,23-02-2024,P0033,C0028,V005,10,46567.0,465670.0
VT00183,2024-12-02,P0015,C0014,V012,8,81470.0,651760.0
VT00184,2025-03-08,P0024,C0015,V025,9,6281.0,56529.0
VT00185,22/05/2024,P0015,C0055,V018,10,81470.0,814700.0
VT00186,2025-01-27,P0040,C0004,V020,14,24589.0,344246.0
VT00187,2025-04-20,P0054,C0035,V001,11,33984.0,373824.0
VT00188,2024-04-02,P0045,C0040,V011,5,22847.0,114235.0
VT00189,28-06-2024,P0012,C0019,V019,1,65102.0,65102.0
VT00190,02/12/2024,P0005,C0019,V024,7,9672.0,67704.0
VT00191,2024-11-20,P0006,C0067,V007,1,5122.0,5122.0
VT00192,2024-07-11,P0030,C0044,V006,7,19784.0,138488.0
VT00193,2024-07-08,P0047,C0042,V025,5,76570.0,382850.0
VT00194,2025-04-27,P0039,C0011,V002,10,68916.0,689160.0
VT00195,20/03/2024,P0049,C0007,V022,3,44536.0,133608.0
VT00196,11-02-2024,P0029,C0055,V016,5,15919.0,79595.0
VT00197,2024-11-06,P0027,C0035,V007,8,33860.0,270880.0
VT00198,2025-01-21,P0008,C0045,V014,9,52167.0,469503.0
VT00199,2024-02-26,P0044,C0063,V017,5,14287.0,71435.0
VT00200,07/12/2024,P0003,C0029,V013,5,20915.0,104575.0
VT00201,2024-11-02,P0001,C0027,V010,1,55253.0,55253.0
VT00202,2025-04-29,P0050,C0018,V025,4,64852.0,259408.0
VT00203,10-05-2024,P0021,C0016,V001,5,9001.0,45005.0
VT00204,2024-09-11,P0028,C0023,V005,12,54944.0,659328.0
VT00205,13/07/2024,P0046,C0030,V017,9,46966.0,422694.0
VT00206,2024-10-13,P0043,C0046,V003,14,35140.0,491960.0
VT00207,2024-07-22,P0048,C0006,V014,14,32365.0,453110.0
VT00208,2024-01-10,P0059,C0010,V011,8,64447.0,515576.0
VT00209,2024-10-21,P0037,C0052,V023,7,72035.0,504245.0
VT00210,23/11/2024,P0019,C0015,V013,7,62703.0,438921.0
VT00211,2024-01-11,P0011,C0059,V023,6,51114.0,306684.0
VT00212,2025-04-15,P0006,C0056,V004,6,5122.0,30732.0
VT00213,2024-05-04,P0038,C0052,V017,7,21396.0,149772.0
VT00214,2024-02-10,P0056,C0040,V024,7,73514.0,514598.0
VT00215,22/06/2024,P0022,C0022,V003,4,70926.0,283704.0
VT00216,2024-09-18,P0008,C0067,V017,11,52167.0,573837.0
VT00217,09-04-2024,P0050,C0045,V012,15,64852.0,972780.0
VT00218,2025-01-07,P0042,C0019,V008,14,20042.0,280588.0
VT00219,2024-02-22,P0017,C0026,V006,3,10479.0,31437.0
VT00220,04/11/2024,P0049,C0010,V006,3,44536.0,133608.0
VT00221,2025-01-30,P0032,C0060,V025,11,52753.0,580283.0
VT00222,2024-10-15,P0038,C0058,V022,13,21396.0,278148.0
VT00223,2025-04-18,P0037,C0042,V021,15,72035.0,1080525.0
VT00224,10-06-2024,P0029,C0009,V016,3,15919.0,47757.0
VT00225,14/08/2024,P0020,C0036,V019,11,12798.0,140778.0
VT00226,2024-01-29,P0033,C0010,V010,6,46567.0,279402.0
VT00227,2024-08-24,P0003,C0008,V012,8,20915.0,167320.0
VT00228,2025-03-01,P0005,C0012,V020,5,9672.0,48360.0
VT00229,2024-10-31,P0025,C0060,V019,9,66278.0,596502.0
VT00230,10/10/2024,P0048,C0006,V015,13,32365.0,420745.0
VT00231,10-04-2025,P0037,C0025,V011,13,72035.0,936455.0
VT00232,2024-11-05,P0033,C0020,V002,8,46567.0,372536.0
VT00233,2024-08-18,P0052,C0044,V023,2,67847.0,135694.0
VT00234,2024-02-13,P0042,C0023,V002,9,20042.0,180378.0
VT00235,06/05/2024,P0029,C0057,V017,12,15919.0,191028.0
VT00236,2024-09-24,P0011,C0047,V012,10,51114.0,511140.0
VT00237,2025-04-14,P0025,C0053,V025,5,66278.0,331390.0
VT00238,22-06-2024,P0039,C0007,V021,11,68916.0,758076.0
VT00239,2024-11-27,P0005,C0043,V004,6,9672.0,58032.0
VT00240,12/10/2024,P0025,C0037,V009,11,66278.0,729058.0
VT00241,2025-01-05,P0043,C0020,V011,14,35140.0,491960.0
VT00242,2024-02-11,P0043,C0019,V012,10,35140.0,351400.0
VT00243,2024-06-07,P0045,C0051,V005,11,22847.0,251317.0
VT00244,2024-10-31,P0006,C0040,V018,,5122.0,61464.0
VT00245,11/07/2024,P0051,C0043,V005,11,15109.0,166199.0
VT00246,2024-12-09,P0054,C0067,V003,12,33984.0,407808.0
VT00247,2024-11-26,P0028,C0066,V012,11,54944.0,604384.0
VT00248,2024-01-10,P0020,C0024,V007,6,12798.0,76788.0
VT00249,2024-06-23,P0032,C0025,V008,13,52753.0,685789.0
VT00250,11/03/2024,P0005,C0038,V004,3,9672.0,29016.0
VT00251,2024-09-16,P0035,C0067,V002,13,24771.0,322023.0
VT00252,04-12-2024,P0057,C0017,V020,6,58623.0,351738.0
VT00253,2024-07-11,P0011,C0024,V023,3,51114.0,153342.0
VT00254,2025-01-29,P0052,C0022,V024,10,67847.0,678470.0
VT00255,12/08/2024,P0027,C0047,V022,1,33860.0,33860.0
VT00256,2025-01-03,P0029,C0037,V025,4,15919.0,63676.0
VT00257,2025-01-18,P0029,C0030,V018,13,15919.0,206947.0
VT00258,2024-05-02,P0052,C0061,V007,5,67847.0,339235.0
VT00259,07-07-2024,P0037,C0057,V015,11,72035.0,792385.0
VT00260,28/01/2025,P0050,C0049,V017,5,64852.0,324260.0
VT00261,2024-09-27,P0011,C0026,V020,7,51114.0,357798.0
VT00262,2024-03-11,P0017,C0007,V021,14,10479.0,146706.0
VT00263,2024-09-03,P0024,C0014,V023,14,6281.0,87934.0
VT00264,2025-03-09,P0055,C0016,V010,9,46152.0,415368.0
VT00265,12/02/2024,P0011,C0035,V015,13,51114.0,664482.0
VT00266,08-04-2025,P0010,C0056,V003,9,37110.0,333990.0
VT00267,2025-04-29,P0015,C0058,V012,15,81470.0,1222050.0
VT00268,2025-04-21,P0027,C0007,V013,1,33860.0,33860.0
VT00269,2024-09-14,P0016,C0050,V003,6,10932.0,65592.0
VT00270,10/07/2024,P0002,C0041,V004,4,63678.0,254712.0
VT00271,2025-03-05,P0042,C0043,V005,12,20042.0,240504.0
VT00272,2024-03-11,P0019,C0061,V023,1,62703.0,62703.0
VT00273,01-03-2025,P0049,C0061,V015,3,44536.0,133608.0
VT00274,2024-11-11,P0058,C0011,V001,1,58741.0,58741.0
VT00275,11/05/2024,P0054,C0020,V018,4,33984.0,135936.0
VT00276,2025-04-26,P0039,C0067,V014,12,68916.0,826992.0
VT00277,2024-02-26,P0019,C0031,V010,13,62703.0,815139.0
VT00278,2024-03-03,P0016,C0054,V021,1,10932.0,10932.0
VT00279,2025-02-10,P0030,C0009,V004,10,19784.0,197840.0
VT00280,04/03/2025,P0032,C0003,V021,15,52753.0,791295.0
VT00281,2024-09-20,P0016,C0019,V010,10,10932.0,109320.0
VT00282,2024-08-07,P0040,C0046,V008,1,24589.0,24589.0
VT00283,2024-10-19,P0012,C0011,V017,7,65102.0,455714.0
VT00284,2024-07-03,P0034,C0065,V017,2,15981.0,31962.0
VT00285,10/10/2024,P0025,C0061,V002,1,66278.0,66278.0
VT00286,2024-11-21,P0024,C0033,V024,7,6281.0,43967.0
VT00287,09-01-2024,P0051,C0009,V012,6,15109.0,90654.0
VT00288,2024-05-03,P0043,C0014,V025,12,35140.0,421680.0
VT00289,2024-10-24,P0049,C0043,V005,12,44536.0,534432.0
VT00290,23/01/2024,P0035,C0044,V021,6,24771.0,148626.0
VT00291,2024-03-30,P0050,C0060,V023,14,64852.0,907928.0
VT00292,2024-09-02,P0012,C0018,V003,11,65102.0,716122.0
VT00293,2025-01-01,P0030,C0005,V010,13,19784.0,257192.0
VT00294,13-04-2024,P0051,C0026,V002,1,15109.0,15109.0
VT00295,10/06/2024,P0020,C0066,V013,15,12798.0,191970.0
VT00296,2025-02-21,P0031,C0033,V002,9,60400.0,543600.0
VT00297,2025-01-20,P0013,C0037,V012,11,60097.0,661067.0
VT00298,2025-03-17,P0004,C0043,V009,13,58328.0,758264.0
VT00299,2024-03-04,P0024,C0056,V013,13,6281.0,81653.0
VT00300,15/01/2025,P0058,C0050,V011,8,58741.0,469928.0
VT00301,05-04-2024,P0045,C0064,V012,8,22847.0,182776.0
VT00302,2025-04-18,P0034,C0035,V003,13,15981.0,207753.0
VT00303,2025-01-07,P0006,C0056,V020,7,5122.0,35854.0
VT00304,2025-02-25,P0035,C0038,V011,3,24771.0,74313.0
VT00305,22/02/2024,P0021,C0038,V010,2,9001.0,18002.0
VT00306,2024-08-16,P0046,C0055,V006,10,46966.0,469660.0
VT00307,2024-12-19,P0023,C0058,V002,8,50132.0,401056.0
VT00308,07-01-2025,P0059,C0046,V020,14,64447.0,902258.0
VT00309,2024-08-10,P0041,C0008,V003,5,77834.0,389170.0
VT00310,09/12/2024,P0026,C0047,V017,11,73064.0,803704.0
VT00311,2025-02-14,P0044,C0021,V001,12,14287.0,171444.0
VT00312,2024-03-14,P0039,C0057,V002,14,68916.0,964824.0
VT00313,2024-03-05,P0016,C0047,V012,2,10932.0,21864.0
VT00314,2024-07-15,P0003,C0020,V022,10,20915.0,209150.0
VT00315,18/08/2024,P0024,C0057,V025,6,6281.0,37686.0
VT00316,2024-02-09,P0009,C0067,V012,10,18904.0,189040.0
VT00317,2024-07-22,P0042,C0036,V008,6,20042.0,120252.0
VT00318,2024-02-28,P0048,C0024,V016,1,32365.0,32365.0
VT00319,2024-09-22,P0059,C0016,V009,7,64447.0,451129.0
VT00320,31/01/2025,P0046,C0058,V007,5,46966.0,234830.0
VT00321,2024-11-09,P0045,C0063,V007,5,22847.0,114235.0
VT00322,03-03-2024,P0055,C0010,V015,3,46152.0,138456.0
VT00323,2024-03-29,P0046,C0057,V003,15,46966.0,704490.0
VT00324,2025-02-18,P0055,C0041,V022,11,46152.0,507672.0
VT00325,26/06/2024,P0005,C0038,V010,12,9672.0,116064.0
VT00326,2025-03-11,P0046,C0023,V012,3,46966.0,140898.0
VT00327,2024-09-17,P0008,C0026,V005,4,52167.0,208668.0
VT00328,2024-05-01,P0032,C0004,V012,13,52753.0,685789.0
VT00329,10-10-2024,P0024,C0060,V018,10,6281.0,62810.0
VT00330,07/03/2024,P0057,C0012,V003,10,58623.0,586230.0
VT00331,2024-06-07,P0046,C0062,V017,7,46966.0,328762.0
VT00332,2024-07-29,P0027,C0010,V005,13,33860.0,440180.0
VT00333,2024-06-11,P0005,C0058,V015,11,9672.0,106392.0
VT00334,2024-12-14,P0023,C0017,V025,9,50132.0,451188.0
VT00335,09/10/2024,P0038,C0024,V025,11,21396.0,235356.0
VT00336,07-03-2024,P0033,C0008,V004,7,46567.0,325969.0
VT00337,2024-09-22,P0020,C0022,V006,3,12798.0,38394.0
VT00338,2024-06-14,P0046,C0029,V012,15,46966.0,704490.0
VT00339,2025-04-30,P0058,C0037,V003,9,58741.0,528669.0
VT00340,08/05/2024,P0041,C0036,V005,4,77834.0,311336.0
VT00341,2024-11-16,P0040,C0012,V017,5,24589.0,122945.0
VT00342,2024-11-24,P0038,C0020,V006,3,21396.0,64188.0
VT00343,03-12-2024,P0047,C0044,V019,10,76570.0,765700.0
VT00344,2024-01-22,P0056,C0004,V003,14,73514.0,1029196.0
VT00345,24/01/2024,P0050,C0034,V021,11,64852.0,713372.0
VT00346,2024-04-17,P0037,C0054,V020,13,72035.0,936455.0
VT00347,2024-11-23,P0032,C0038,V021,1,52753.0,52753.0
VT00348,2024-06-03,P0016,C0052,V010,8,10932.0,87456.0
VT00349,2024-08-20,P0045,C0008,V006,2,22847.0,45694.0
VT00350,13/08/2024,P0031,C0060,V007,7,60400.0,422800.0
VT00351,2024-06-23,P0010,C0041,V023,10,37110.0,371100.0
VT00352,2024-06-12,P0056,C0045,V013,12,73514.0,882168.0
VT00353,2024-03-07,P0024,C0066,V018,13,6281.0,81653.0
VT00354,2024-02-24,P0016,C0060,V004,6,10932.0,65592.0
VT00355,16/05/2024,P0016,C0019,V004,8,10932.0,87456.0
VT00356,2024-01-26,P0025,C0054,V008,5,66278.0,331390.0
VT00357,19-03-2025,P0011,C0042,V019,15,51114.0,766710.0
VT00358,2025-01-04,P0013,C0021,V016,6,60097.0,360582.0
VT00359,2024-09-20,P0032,C0040,V016,8,52753.0,422024.0
VT00360,12/01/2024,P0026,C0065,V015,2,73064.0,146128.0
VT00361,2024-05-03,P0038,C0046,V002,4,21396.0,85584.0
VT00362,2024-01-26,P0032,C0061,V010,5,52753.0,263765.0
VT00363,2024-10-01,P0055,C0014,V014,1,46152.0,46152.0
VT00364,09-03-2024,P0017,C0047,V025,15,10479.0,157185.0
VT00365,25/07/2024,P0003,C0052,V002,6,20915.0,125490.0
VT00366,2024-10-18,P0013,C0047,V018,9,60097.0,540873.0
VT00367,2024-05-27,P0025,C0065,V015,2,66278.0,132556.0
VT00368,2025-01-26,P0018,C0016,V005,9,52307.0,470763.0
VT00369,2024-02-19,P0024,C0044,V018,7,6281.0,43967.0
VT00370,25/04/2025,P0049,C0019,V007,6,44536.0,267216.0
VT00371,04-11-2024,P0026,C0065,V002,9,73064.0,657576.0
VT00372,2024-01-24,P0009,C0043,V016,1,18904.0,18904.0
VT00373,2024-09-22,P0010,C0066,V005,8,37110.0,296880.0
VT00374,2024-06-16,P0040,C0041,V006,15,24589.0,368835.0
VT00375,20/07/2024,P0048,C0039,V019,10,32365.0,323650.0
VT00376,2024-06-21,P0054,C0066,V018,9,33984.0,305856.0
VT00377,2024-09-07,P0037,C0039,V016,12,72035.0,864420.0
VT00378,21-02-2025,P0024,C0043,V022,1,6281.0,6281.0
VT00379,2024-02-26,P0038,C0040,V024,7,21396.0,149772.0
VT00380,22/03/2025,P0041,C0004,V020,12,77834.0,934008.0
VT00381,2024-08-30,P0042,C0030,V024,5,20042.0,100210.0
VT00382,2024-01-27,P0031,C0022,V017,10,60400.0,604000.0
VT00383,2024-11-18,P0040,C0049,V005,12,24589.0,295068.0
VT00384,2025-02-24,P0016,C0005,V019,11,10932.0,120252.0
VT00385,30/04/2025,P0008,C0025,V001,12,52167.0,626004.0
VT00386,2024-08-13,P0027,C0020,V014,6,33860.0,203160.0
VT00387,2024-12-19,P0027,C0065,V025,4,33860.0,135440.0
VT00388,2024-11-09,P0031,C0008,V023,15,60400.0,906000.0
VT00389,2024-03-11,P0014,C0042,V022,9,25424.0,228816.0
VT00390,01/09/2024,P0025,C0041,V006,9,66278.0,596502.0
VT00391,2024-08-23,P0035,C0044,V018,15,24771.0,371565.0
VT00392,30-06-2024,P0050,C0034,V020,11,64852.0,713372.0
VT00393,2024-09-04,P0016,C0036,V018,4,10932.0,43728.0
VT00394,2024-06-01,P0020,C0037,V023,4,12798.0,51192.0
VT00395,16/04/2024,P0046,C0063,V011,12,46966.0,563592.0
VT00396,2024-09-02,P0036,C0036,V010,6,20618.0,123708.0
